Country,GDP,Broadband
Argentina,476,4475415
Australia,1532,5743000
Belgium,483,3679196
Brazil,2253,18186954
Canada,1821,11405500
Chile,270,2166805
China,8227,175624800
Colombia,370,3975161
"Egypt, Arab Rep.",263,2287249
France,2613,23960000
Germany,3428,27906896
"Hong Kong SAR, China",263,2270740
India,1842,14306000
Indonesia,878,2983000
Italy,2015,13483000
Japan,5960,35295509
Malaysia,305,2459900
Mexico,1178,12717139
Netherlands,771,6592000
Peru,204,1422285
Philippines,250,2146600
Poland,490,6372500
Russian Federation,2015,20658157
Saudi Arabia,711,1965751
South Africa,384,1107200
Spain,1323,11344642
Sweden,524,3056000
Thailand,366,4357398
Turkey,789,7858170
United Kingdom,2472,21370568
United States,16245,88520000
"Venezuela, RB",381,2013347
